solar panels,male count,female count,baby,olders,employeed,income,district,squrefeet,units
No,2,2,1,0,1,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"1,500 to 2,500 square feet",158
No,2,2,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",200
No,2,2,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",200
No,1,4,0,2,1,"Between Rs. 300,000 and Rs.400,000",Gampaha,"1,500 to 2,500 square feet",155
No,1,0,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",56
No,2,2,0,0,3,"Between Rs. 100,000 and Rs. 200,000",Gampaha,"1,500 to 2,500 square feet",245
No,1,2,1,0,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"1,500 to 2,500 square feet",250
No,3,2,1,1,2,"Between Rs. 100,000 and Rs. 200,000",Colombo,"1,500 to 2,500 square feet",375
No,1,2,0,1,1,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",245
No,2,3,0,1,2,"Between Rs. 200,000 and Rs. 300,000",Gampaha,"3,500 to 4,500 square feet",401
No,2,2,0,0,1,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"1,500 to 2,500 square feet",269
No,3,3,3,2,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",402
No,3,4,2,2,2,"Between Rs. 300,000 and Rs.400,000",Gampaha,"3,500 to 4,500 square feet",410
No,2,3,1,1,2,"Between Rs. 200,000 and Rs. 300,000",Kaluthara,"2,500 to 3,500 square feet",520
No,2,2,0,0,2,"Between Rs. 50,000 and Rs. 100,000",Gampaha,"Less than 1,500 square feet",111
No,1,1,0,2,0,"Between Rs. 50,000 and Rs. 100,000",Kaluthara,"Less than 1,500 square feet",98
No,2,3,0,2,1,"Between Rs. 50,000 and Rs. 100,000",Colombo,"Less than 1,500 square feet",158
No,1,3,2,0,1,"Between Rs. 100,000 and Rs. 200,000",Kaluthara,"1,500 to 2,500 square feet",328
No,3,3,1,1,2,"Between Rs. 300,000 and Rs.400,000",Colombo,"3,500 to 4,500 square feet",460
